fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.1715|SAMN05216182_1505	WP_013430429.1	ATHE_RS06135	Athe_1228
fig|31899.10.peg.1716|SAMN05216182_1506	WP_015907720.1	ATHE_RS06140	Athe_1229
fig|31899.10.peg.1717|SAMN05216182_1507	WP_015907721.1	ATHE_RS06145	Athe_1230
fig|31899.10.peg.1718|SAMN05216182_1508	WP_015907722.1	ATHE_RS06150	Athe_1231
fig|31899.10.peg.1720|SAMN05216182_1510	WP_015907724.1	ATHE_RS06160	Athe_1233
fig|31899.10.peg.1721|SAMN05216182_1511	WP_015907725.1	ATHE_RS06165	Athe_1234
fig|31899.10.peg.1722|SAMN05216182_1512	WP_015907726.1	ATHE_RS06170	Athe_1235
fig|31899.10.peg.1723|SAMN05216182_1513	WP_015907727.1	ATHE_RS06175	Athe_1236
fig|31899.10.peg.1724|SAMN05216182_1514	WP_015907728.1	ATHE_RS06180	Athe_1237
fig|31899.10.peg.1725|SAMN05216182_1515	WP_015907729.1	ATHE_RS06185	Athe_1238
fig|31899.10.peg.1726|SAMN05216182_1516	WP_015907730.1	ATHE_RS06190	Athe_1239
fig|31899.10.peg.1727|SAMN05216182_1517	WP_015907731.1	ATHE_RS06195	Athe_1240
fig|31899.10.peg.1728|SAMN05216182_1518	WP_015907732.1	ATHE_RS06200	Athe_1241
fig|31899.10.peg.1729|SAMN05216182_1519	WP_015907733.1	ATHE_RS06205	Athe_1242
fig|31899.10.peg.1730|SAMN05216182_1520	WP_015907734.1	ATHE_RS06210	Athe_1243
fig|31899.10.peg.1731|SAMN05216182_1521	WP_015907735.1	ATHE_RS06215	Athe_1244
fig|31899.10.peg.1732|SAMN05216182_1522	WP_013430412.1	ATHE_RS06220	Athe_1245
fig|31899.10.peg.1733|SAMN05216182_1523	WP_015907736.1	ATHE_RS06225	Athe_1246
fig|31899.10.peg.1734|SAMN05216182_1524	WP_015907737.1	ATHE_RS06230	Athe_1247
fig|31899.10.peg.1735|SAMN05216182_1525	WP_015907738.1	ATHE_RS06235	Athe_1248
fig|31899.10.peg.1736|SAMN05216182_1526	WP_015907739.1	ATHE_RS06240	Athe_1249
fig|31899.10.peg.1737|SAMN05216182_1527	WP_015907740.1	ATHE_RS06245	Athe_1250
fig|31899.10.peg.1738|SAMN05216182_1528	WP_015907741.1	ATHE_RS06250	Athe_1251
fig|31899.10.peg.1739|SAMN05216182_1529	WP_015907742.1	ATHE_RS06255	Athe_1252
fig|31899.10.peg.1740|SAMN05216182_1530	WP_013430404.1	ATHE_RS06260	Athe_1253
fig|31899.10.peg.1741|SAMN05216182_1531	WP_015907743.1	ATHE_RS06265	Athe_1254
fig|31899.10.peg.1742|SAMN05216182_1532	WP_015907744.1	ATHE_RS06270	Athe_1255
fig|31899.10.peg.1743|SAMN05216182_1533	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.1744|SAMN05216182_1534	WP_015907745.1	ATHE_RS06280	Athe_1257
fig|31899.10.peg.1745|SAMN05216182_1535	WP_015907746.1	ATHE_RS06285	Athe_1258
fig|31899.10.peg.1746|SAMN05216182_1536	WP_013403355.1	ATHE_RS06290	Athe_1259
fig|31899.10.peg.1748|SAMN05216182_1538	WP_015907748.1	ATHE_RS06300	Athe_1261
fig|31899.10.peg.1749|SAMN05216182_1539	WP_015907749.1	ATHE_RS06305	Athe_1262
fig|31899.10.peg.1750|SAMN05216182_1540	WP_013403351.1	ATHE_RS06310	Athe_1263
fig|31899.10.peg.1751|SAMN05216182_1541	WP_015907750.1	ATHE_RS06315	Athe_1264
fig|31899.10.peg.1752|SAMN05216182_1542	WP_013403349.1	ATHE_RS06320	Athe_1265
fig|31899.10.peg.1753|SAMN05216182_1543	WP_015907751.1	ATHE_RS06325	Athe_1266
fig|31899.10.peg.1754|SAMN05216182_1544	WP_015907752.1	ATHE_RS06330	Athe_1267
fig|31899.10.peg.1755|SAMN05216182_1545	WP_011917352.1	ATHE_RS06335	Athe_1268
fig|31899.10.peg.1756|SAMN05216182_1546	WP_041727137.1	ATHE_RS06340	Athe_1269
fig|31899.10.peg.1757|SAMN05216182_1547	WP_015907754.1	ATHE_RS06345	Athe_1270
fig|31899.10.peg.1758|SAMN05216182_1548	WP_015907755.1	ATHE_RS06350	Athe_1271
fig|31899.10.peg.1759|SAMN05216182_1549	WP_015907756.1	ATHE_RS06355	Athe_1272
fig|31899.10.peg.1760|SAMN05216182_1550	WP_015907757.1	ATHE_RS06360	Athe_1273
fig|31899.10.peg.1761|SAMN05216182_1551	WP_015907758.1	ATHE_RS06365	Athe_1274
fig|31899.10.peg.1762|SAMN05216182_1552	WP_015907759.1	ATHE_RS06370	Athe_1275
fig|31899.10.peg.1763|SAMN05216182_1553	WP_015907760.1	ATHE_RS06375	Athe_1276
fig|31899.10.peg.1764|SAMN05216182_1554	WP_015907761.1	ATHE_RS06380	Athe_1277
fig|31899.10.peg.1765|SAMN05216182_1555	WP_015907762.1	ATHE_RS06385	Athe_1278
fig|31899.10.peg.1766|SAMN05216182_1556	WP_015907763.1	ATHE_RS06390	Athe_1279
fig|31899.10.peg.1767|SAMN05216182_1557	WP_015907764.1	ATHE_RS06395	Athe_1280
fig|31899.10.peg.1768|SAMN05216182_1558	WP_013403334.1	ATHE_RS06400	Athe_1281
fig|31899.10.peg.1769|SAMN05216182_1559	WP_015907765.1	ATHE_RS06405	Athe_1282
fig|31899.10.peg.1770|SAMN05216182_1560	WP_013430381.1	ATHE_RS06410	Athe_1283
fig|31899.10.peg.1771|SAMN05216182_1561	WP_015907766.1	ATHE_RS06415	Athe_1284
fig|31899.10.peg.1772|SAMN05216182_1562	WP_015907767.1	ATHE_RS06420	Athe_1285
fig|31899.10.peg.1775|SAMN05216182_1565	WP_015907769.1	ATHE_RS06435	Athe_1287
fig|31899.10.peg.1776|SAMN05216182_1566	WP_015907770.1	ATHE_RS06440	Athe_1288
fig|31899.10.peg.1777|SAMN05216182_1567	WP_015907771.1	ATHE_RS06445	Athe_1289
fig|31899.10.peg.1778|SAMN05216182_1568	WP_013430374.1	ATHE_RS06450	Athe_1290
fig|31899.10.peg.1779|SAMN05216182_1569	WP_015907772.1	ATHE_RS06455	Athe_1291
fig|31899.10.peg.1780|SAMN05216182_1570	WP_015907773.1	ATHE_RS06460	Athe_1292
fig|31899.10.peg.1782|SAMN05216182_1572	WP_013430370.1	ATHE_RS06470	Athe_1294
fig|31899.10.peg.1783|SAMN05216182_1573	WP_013430369.1	ATHE_RS06475	Athe_1295
fig|31899.10.peg.1784|SAMN05216182_1574	WP_015907775.1	ATHE_RS06480	Athe_1296
fig|31899.10.peg.1785|SAMN05216182_1575	WP_013430367.1	ATHE_RS06485	Athe_1297
fig|31899.10.peg.1786|SAMN05216182_1576	WP_013430366.1	ATHE_RS06490	Athe_1298
fig|31899.10.peg.1787|SAMN05216182_1577	WP_015907776.1	ATHE_RS06495	Athe_1299
fig|31899.10.peg.1788|SAMN05216182_1578	WP_015907777.1	ATHE_RS06500	Athe_1300
fig|31899.10.peg.1789|SAMN05216182_1579	WP_015907778.1	ATHE_RS06505	Athe_1301
fig|31899.10.peg.1790|SAMN05216182_1580	WP_015907779.1	ATHE_RS06510	Athe_1302
fig|31899.10.peg.1791|SAMN05216182_1581	WP_015907780.1	ATHE_RS06515	Athe_1303
fig|31899.10.peg.1792|SAMN05216182_1582	WP_015907781.1	ATHE_RS06520	Athe_1304
fig|31899.10.peg.1793|SAMN05216182_1583	WP_015907782.1	ATHE_RS06525	Athe_1305
fig|31899.10.peg.1794|SAMN05216182_1584	WP_015907783.1	ATHE_RS06530	Athe_1306
fig|31899.10.peg.1795|SAMN05216182_1585	WP_013430357.1	ATHE_RS06535	Athe_1307
fig|31899.10.peg.1796|SAMN05216182_1586	WP_015907784.1	ATHE_RS06540	Athe_1308
fig|31899.10.peg.1797|SAMN05216182_1587	WP_011917393.1	ATHE_RS06545	Athe_1309
fig|31899.10.peg.1798|SAMN05216182_1588	WP_015907785.1	ATHE_RS06550	Athe_1310
fig|31899.10.peg.1799|SAMN05216182_1589	WP_015907786.1	ATHE_RS06555	Athe_1311
fig|31899.10.peg.1800|SAMN05216182_1590	WP_015907787.1	ATHE_RS06560	Athe_1312
fig|31899.10.peg.1801|SAMN05216182_1591	WP_041727144.1	ATHE_RS06565	Athe_1313
fig|31899.10.peg.1802|SAMN05216182_1592	WP_015907789.1	ATHE_RS06570	Athe_1314
fig|31899.10.peg.1803|SAMN05216182_1593	WP_013430350.1	ATHE_RS06575	Athe_1315
fig|31899.10.peg.1804|SAMN05216182_1594	WP_013430349.1	ATHE_RS06580	Athe_1316
fig|31899.10.peg.1805|SAMN05216182_1595	WP_015907790.1	ATHE_RS06585	Athe_1317
fig|31899.10.peg.1807|SAMN05216182_1597	WP_015907792.1	ATHE_RS06595	Athe_1319
fig|31899.10.peg.1808|SAMN05216182_1598	WP_013430346.1	ATHE_RS14275	Athe_1320
fig|31899.10.peg.1809|SAMN05216182_1599	WP_015907793.1	ATHE_RS06600	Athe_1321
fig|31899.10.peg.1810|SAMN05216182_1600	WP_015907794.1	ATHE_RS06605	Athe_1322
fig|31899.10.peg.1812|SAMN05216182_1602	WP_015907796.1	ATHE_RS06615	Athe_1324
fig|31899.10.peg.1813|SAMN05216182_1603	WP_015907797.1	ATHE_RS06620	Athe_1325
fig|31899.10.peg.1814|SAMN05216182_1604	WP_015907798.1	ATHE_RS06625	Athe_1326
fig|31899.10.peg.1815|SAMN05216182_1605	WP_015907799.1	ATHE_RS06630	Athe_1327
fig|31899.10.peg.1816|SAMN05216182_1606	WP_015907800.1	ATHE_RS06635	Athe_1328
fig|31899.10.peg.1818|SAMN05216182_1608	WP_015907802.1	ATHE_RS06640	Athe_1330
fig|31899.10.peg.1819|SAMN05216182_1609	WP_015907803.1	ATHE_RS06645	Athe_1331
fig|31899.10.peg.1820|SAMN05216182_1610	WP_015907804.1	ATHE_RS06650	Athe_1332
fig|31899.10.peg.1821|SAMN05216182_1611	WP_015907805.1	ATHE_RS06655	Athe_1333
fig|31899.10.peg.1822|SAMN05216182_1612	WP_013403283.1	ATHE_RS06660	Athe_1334
fig|31899.10.peg.1823|SAMN05216182_1613	WP_015907806.1	ATHE_RS06665	Athe_1335
fig|31899.10.peg.1824|SAMN05216182_1614	WP_015907807.1	ATHE_RS06670	Athe_1336
fig|31899.10.peg.1825|SAMN05216182_1615	WP_015907808.1	ATHE_RS06675	Athe_1337
fig|31899.10.peg.1826|SAMN05216182_1616	WP_015907809.1	ATHE_RS06680	Athe_1338
fig|31899.10.peg.1827|SAMN05216182_1617	WP_015907810.1	ATHE_RS06685	Athe_1339
fig|31899.10.peg.1828|SAMN05216182_1618	WP_015907811.1	ATHE_RS06690	Athe_1340
fig|31899.10.peg.1829|SAMN05216182_1619	WP_015907812.1	ATHE_RS06695	Athe_1341
fig|31899.10.peg.1830|SAMN05216182_1620	WP_015907813.1	ATHE_RS06700	Athe_1342
fig|31899.10.peg.1831|SAMN05216182_1621	WP_015907814.1	ATHE_RS06705	Athe_1343
fig|31899.10.peg.1832|SAMN05216182_1622	WP_015907815.1	ATHE_RS06710	Athe_1344
fig|31899.10.peg.1833|SAMN05216182_1623	WP_015907816.1	ATHE_RS06715	Athe_1345
fig|31899.10.peg.1834|SAMN05216182_1624	WP_015907817.1	ATHE_RS06720	Athe_1346
fig|31899.10.peg.1835|SAMN05216182_1625	WP_015907818.1	ATHE_RS06725	Athe_1347
fig|31899.10.peg.1836|SAMN05216182_1626	WP_013290501.1	ATHE_RS06730	Athe_1348
fig|31899.10.peg.1837|SAMN05216182_1627	WP_015907819.1	ATHE_RS06735	Athe_1349
fig|31899.10.peg.1838|SAMN05216182_1628	WP_015907820.1	ATHE_RS06740	Athe_1350
fig|31899.10.peg.1840|SAMN05216182_1629	WP_015907821.1	ATHE_RS06745	Athe_1351
fig|31899.10.peg.1841|SAMN05216182_1630	WP_015907822.1	ATHE_RS06750	Athe_1352
fig|31899.10.peg.1842|SAMN05216182_1631	WP_015907823.1	ATHE_RS06755	Athe_1353
fig|31899.10.peg.1843|SAMN05216182_1632	WP_015907824.1	ATHE_RS06760	Athe_1354
fig|31899.10.peg.1844|SAMN05216182_1633	WP_015907825.1	ATHE_RS06765	Athe_1355
fig|31899.10.peg.1845|SAMN05216182_1634	WP_015907826.1	ATHE_RS06770	Athe_1356
fig|31899.10.peg.1846|SAMN05216182_1635	WP_015907827.1	ATHE_RS06775	Athe_1357
fig|31899.10.peg.1848|SAMN05216182_1637	WP_015907829.1	ATHE_RS06785	Athe_1359
fig|31899.10.peg.1849|SAMN05216182_1638	WP_015907830.1	ATHE_RS06790	Athe_1360
fig|31899.10.peg.1850|SAMN05216182_1639	WP_015907831.1	ATHE_RS06795	Athe_1361
fig|31899.10.peg.1851|SAMN05216182_1640	WP_015907832.1	ATHE_RS06800	Athe_1362
fig|31899.10.peg.1852|SAMN05216182_1641	WP_015907833.1	ATHE_RS06805	Athe_1363
fig|31899.10.peg.1853|SAMN05216182_1642	WP_015907834.1	ATHE_RS06810	Athe_1364
fig|31899.10.peg.1854|SAMN05216182_1643	WP_015907835.1	ATHE_RS06815	Athe_1365
fig|31899.10.peg.1855|SAMN05216182_1644	WP_015907836.1	ATHE_RS06830	Athe_1368
fig|31899.10.peg.1856|SAMN05216182_1645	WP_015907837.1	ATHE_RS06825	Athe_1367
fig|31899.10.peg.1857|SAMN05216182_1646	WP_015907836.1	ATHE_RS06830	Athe_1368
fig|31899.10.peg.1858|SAMN05216182_1647	WP_015907838.1	ATHE_RS06835	Athe_1369
fig|31899.10.peg.1859|SAMN05216182_1648	WP_015907839.1	ATHE_RS06840	Athe_1370
fig|31899.10.peg.1860|SAMN05216182_1649	WP_015907840.1	ATHE_RS06845	Athe_1371
fig|31899.10.peg.1861|SAMN05216182_1650	WP_015907841.1	ATHE_RS06850	Athe_1372
fig|31899.10.peg.1864|SAMN05216182_1652	WP_015907843.1	ATHE_RS06860	Athe_1374
fig|31899.10.peg.1865|SAMN05216182_1653	WP_015907844.1	ATHE_RS06865	Athe_1375
fig|31899.10.peg.1866|SAMN05216182_1654	WP_015907845.1	ATHE_RS06870	Athe_1376
fig|31899.10.peg.1867|SAMN05216182_1655	WP_015907846.1	ATHE_RS06875	Athe_1377
fig|31899.10.peg.1868|SAMN05216182_1656	WP_015907847.1	ATHE_RS06880	Athe_1378
fig|31899.10.peg.1871|SAMN05216182_1658	WP_015907849.1	ATHE_RS06890	Athe_1380
fig|31899.10.peg.1872|SAMN05216182_1659	WP_015907850.1	ATHE_RS06895	Athe_1381
fig|31899.10.peg.1873|SAMN05216182_1660	WP_015907851.1	ATHE_RS06900	Athe_1382
fig|31899.10.peg.1875|SAMN05216182_1662	WP_015907853.1	ATHE_RS06910	Athe_1384
fig|31899.10.peg.1876|SAMN05216182_1663	WP_015907854.1	ATHE_RS06915	Athe_1385
fig|31899.10.peg.1877|SAMN05216182_1664	WP_015907855.1	ATHE_RS06920	Athe_1386
fig|31899.10.peg.1880|SAMN05216182_1666	WP_015907857.1	ATHE_RS06930	Athe_1388
fig|31899.10.peg.1881|SAMN05216182_1667	WP_015907858.1	ATHE_RS06935	Athe_1389
fig|31899.10.peg.1882|SAMN05216182_1668	WP_015907859.1	ATHE_RS06940	Athe_1390
fig|31899.10.peg.1883|SAMN05216182_1669	WP_015907860.1	ATHE_RS06945	Athe_1391
fig|31899.10.peg.1885|SAMN05216182_1671	WP_015907861.1	ATHE_RS06950	Athe_1392
fig|31899.10.peg.1887|SAMN05216182_1673	WP_015907862.1	ATHE_RS06955	Athe_1394
fig|31899.10.peg.1888|SAMN05216182_1674	WP_015907863.1	ATHE_RS06960	Athe_1395
fig|31899.10.peg.1893|SAMN05216182_1678	WP_015907866.1	ATHE_RS06980	Athe_1399
fig|31899.10.peg.1894|SAMN05216182_1679	WP_015907867.1	ATHE_RS06985	Athe_1400
fig|31899.10.peg.1895|SAMN05216182_1680	WP_013290458.1	ATHE_RS06990	Athe_1401
fig|31899.10.peg.1896|SAMN05216182_1681	WP_015907868.1	ATHE_RS06995	Athe_1402
fig|31899.10.peg.1897|SAMN05216182_1682	WP_015907869.1	ATHE_RS07000	Athe_1403
fig|31899.10.peg.1898|SAMN05216182_1683	WP_015907870.1	ATHE_RS07005	Athe_1404
fig|31899.10.peg.1899|SAMN05216182_1684	WP_015907871.1	ATHE_RS07010	Athe_1405
fig|31899.10.peg.1900|SAMN05216182_1685	WP_015907872.1	ATHE_RS07015	Athe_1406
fig|31899.10.peg.1901|SAMN05216182_1686	WP_015907873.1	ATHE_RS07020	Athe_1407
fig|31899.10.peg.1902|SAMN05216182_1687	WP_015907875.1	ATHE_RS07025	Athe_1409
fig|31899.10.peg.1903|SAMN05216182_1688	WP_015907876.1	ATHE_RS07030	Athe_1410
fig|31899.10.peg.1904|SAMN05216182_1689	WP_015907877.1	ATHE_RS07035	Athe_1411
fig|31899.10.peg.1905|SAMN05216182_1690	WP_013430270.1	ATHE_RS07040	Athe_1412
fig|31899.10.peg.1906|SAMN05216182_1692	WP_015907879.1	ATHE_RS07050	Athe_1414
fig|31899.10.peg.1907|SAMN05216182_1693	WP_013290438.1	ATHE_RS07055	Athe_1415
fig|31899.10.peg.1908|SAMN05216182_1694	WP_015907880.1	ATHE_RS07060	Athe_1416
fig|31899.10.peg.1909|SAMN05216182_1695	WP_013430265.1	ATHE_RS07065	Athe_1417
fig|31899.10.peg.1910|SAMN05216182_1696	WP_015907881.1	ATHE_RS07070	Athe_1418
fig|31899.10.peg.1911|SAMN05216182_1697	WP_015907882.1	ATHE_RS07075	Athe_1419
fig|31899.10.peg.1912|SAMN05216182_1698	WP_015907883.1	ATHE_RS07080	Athe_1420
fig|31899.10.peg.1913|SAMN05216182_1699	WP_015907884.1	ATHE_RS07085	Athe_1421
fig|31899.10.peg.1914|SAMN05216182_1700	WP_015907885.1	ATHE_RS07090	Athe_1422
fig|31899.10.peg.1915|SAMN05216182_1701	WP_015907886.1	ATHE_RS07095	Athe_1423
fig|31899.10.peg.1916|SAMN05216182_1702	WP_015907887.1	ATHE_RS07100	Athe_1424
fig|31899.10.peg.1917|SAMN05216182_1703	WP_015907888.1	ATHE_RS07105	Athe_1425
fig|31899.10.peg.1918|SAMN05216182_1704	WP_015907889.1	ATHE_RS07110	Athe_1426
fig|31899.10.peg.1919|SAMN05216182_1705	WP_015907890.1	ATHE_RS07115	Athe_1427
fig|31899.10.peg.1920|SAMN05216182_1706	WP_015907891.1	ATHE_RS07120	Athe_1428
fig|31899.10.peg.1921|SAMN05216182_1707	WP_013290424.1	ATHE_RS07125	Athe_1429
fig|31899.10.peg.1922|SAMN05216182_1708	WP_015907892.1	ATHE_RS07130	Athe_1430
fig|31899.10.peg.1923|SAMN05216182_1709	WP_015907893.1	ATHE_RS07135	Athe_1431
fig|31899.10.peg.1924|SAMN05216182_1710	WP_015907894.1	ATHE_RS07140	Athe_1432
fig|31899.10.peg.1925|SAMN05216182_1711	WP_015907895.1	ATHE_RS07145	Athe_1433
fig|31899.10.peg.1926|SAMN05216182_1712	WP_015907896.1	ATHE_RS07150	Athe_1434
fig|31899.10.peg.1927|SAMN05216182_1713	WP_015907897.1	ATHE_RS07155	Athe_1435
fig|31899.10.peg.1928|SAMN05216182_1714	WP_015907898.1	ATHE_RS07160	Athe_1436
fig|31899.10.peg.1929|SAMN05216182_1715	WP_015907899.1	ATHE_RS07165	Athe_1437
fig|31899.10.peg.1930|SAMN05216182_1716	WP_013430244.1	ATHE_RS07170	Athe_1438
fig|31899.10.peg.1931|SAMN05216182_1717	WP_015907900.1	ATHE_RS07175	Athe_1439
fig|31899.10.peg.1932|SAMN05216182_1718	WP_015907901.1	ATHE_RS07180	Athe_1440
fig|31899.10.peg.1933|SAMN05216182_1719	WP_015907902.1	ATHE_RS07185	Athe_1441
fig|31899.10.peg.1934|SAMN05216182_1720	WP_015907903.1	ATHE_RS07190	Athe_1442
fig|31899.10.peg.1935|SAMN05216182_1721	WP_013430239.1	ATHE_RS07195	Athe_1443
fig|31899.10.peg.1936|SAMN05216182_1722	WP_015907904.1	ATHE_RS07200	Athe_1444
fig|31899.10.peg.1937|SAMN05216182_1723	WP_015907905.1	ATHE_RS07205	Athe_1445
fig|31899.10.peg.1938|SAMN05216182_1724	WP_015907906.1	ATHE_RS07210	Athe_1446
fig|31899.10.peg.1939|SAMN05216182_1725	WP_015907907.1	ATHE_RS07215	Athe_1447
fig|31899.10.peg.1940|SAMN05216182_1726	WP_015907908.1	ATHE_RS07220	Athe_1448
fig|31899.10.peg.1941|SAMN05216182_1727	WP_015907909.1	ATHE_RS07225	Athe_1449
fig|31899.10.peg.1942|SAMN05216182_1728	WP_015907910.1	ATHE_RS07230	Athe_1450
fig|31899.10.peg.1943|SAMN05216182_1729	WP_013430231.1	ATHE_RS07235	Athe_1451
fig|31899.10.peg.1944|SAMN05216182_1730	WP_015907911.1	ATHE_RS07240	Athe_1452
fig|31899.10.peg.1945|SAMN05216182_1731	WP_015907912.1	ATHE_RS07245	Athe_1453
fig|31899.10.peg.1946|SAMN05216182_1732	WP_015907913.1	ATHE_RS07250	Athe_1454
fig|31899.10.peg.1947|SAMN05216182_1733	WP_015907914.1	ATHE_RS07255	Athe_1455
fig|31899.10.peg.1948|SAMN05216182_1734	WP_015907915.1	ATHE_RS07260	Athe_1456
fig|31899.10.peg.1949|SAMN05216182_1735	WP_015907916.1	ATHE_RS07265	Athe_1457
fig|31899.10.peg.1950|SAMN05216182_1736	WP_015907917.1	ATHE_RS07270	Athe_1458
fig|31899.10.peg.1951|SAMN05216182_1737	WP_049760253.1	ATHE_RS07275	Athe_1459
fig|31899.10.peg.1952|SAMN05216182_1738	WP_015907919.1	ATHE_RS07280	Athe_1460
fig|31899.10.peg.1953|SAMN05216182_1739	WP_015907920.1	ATHE_RS07285	Athe_1461
fig|31899.10.peg.1954|SAMN05216182_1740	WP_015907921.1	ATHE_RS07290	Athe_1462
fig|31899.10.peg.1955|SAMN05216182_1741	WP_015907922.1	ATHE_RS07295	Athe_1463
fig|31899.10.peg.1956|SAMN05216182_1742	WP_015907923.1	ATHE_RS07300	Athe_1464
fig|31899.10.peg.1958|SAMN05216182_1744	WP_015907924.1	ATHE_RS07305	Athe_1465
fig|31899.10.peg.1959|SAMN05216182_1745	WP_015907925.1	ATHE_RS07310	Athe_1466
fig|31899.10.peg.1961|SAMN05216182_1747	WP_041727147.1	ATHE_RS07320	Athe_1468
fig|31899.10.peg.1962|SAMN05216182_1748	WP_015907928.1	ATHE_RS07325	Athe_1469
fig|31899.10.peg.1963|SAMN05216182_1749	WP_015907929.1	ATHE_RS07330	Athe_1470
fig|31899.10.peg.1964|SAMN05216182_1750	WP_015907930.1	ATHE_RS07335	Athe_1471
fig|31899.10.peg.1965|SAMN05216182_1751	WP_015907931.1	ATHE_RS07340	Athe_1472
fig|31899.10.peg.1966|SAMN05216182_1752	WP_015907932.1	ATHE_RS07345	Athe_1473
fig|31899.10.peg.1967|SAMN05216182_1753	WP_015907933.1	ATHE_RS07350	Athe_1474
fig|31899.10.peg.1968|SAMN05216182_1754	WP_015907934.1	ATHE_RS07355	Athe_1475
fig|31899.10.peg.1969|SAMN05216182_1755	WP_015907935.1	ATHE_RS07360	Athe_1476
fig|31899.10.peg.1970|SAMN05216182_1756	WP_015907936.1	ATHE_RS07365	Athe_1477
fig|31899.10.peg.1971|SAMN05216182_1757	WP_015907937.1	ATHE_RS07370	Athe_1478
fig|31899.10.peg.1972|SAMN05216182_1758	WP_013430203.1	ATHE_RS07375	Athe_1479
fig|31899.10.peg.1973|SAMN05216182_1759	WP_015907938.1	ATHE_RS07380	Athe_1480
fig|31899.10.peg.1974|SAMN05216182_1760	WP_015907939.1	ATHE_RS07385	Athe_1481
fig|31899.10.peg.1975|SAMN05216182_1761	WP_015907940.1	ATHE_RS07390	Athe_1482
fig|31899.10.peg.1976|SAMN05216182_1762	WP_013430199.1	ATHE_RS07395	Athe_1483
fig|31899.10.peg.1977|SAMN05216182_1763	WP_015907941.1	ATHE_RS07400	Athe_1484
fig|31899.10.peg.1978|SAMN05216182_1764	WP_015907942.1	ATHE_RS07405	Athe_1485
fig|31899.10.peg.1979|SAMN05216182_1765	WP_015907943.1	ATHE_RS07410	Athe_1486
fig|31899.10.peg.1980|SAMN05216182_1766	WP_015907944.1	ATHE_RS07415	Athe_1487
fig|31899.10.peg.1981|SAMN05216182_1767	WP_015907945.1	ATHE_RS07420	Athe_1488
fig|31899.10.peg.1982|SAMN05216182_1768	WP_013430193.1	ATHE_RS07425	Athe_1489
fig|31899.10.peg.1984|SAMN05216182_1770	WP_015907947.1	ATHE_RS07435	Athe_1491
fig|31899.10.peg.1985|SAMN05216182_1771	WP_013430190.1	ATHE_RS07440	Athe_1492
fig|31899.10.peg.1986|SAMN05216182_1772	WP_013430189.1	ATHE_RS07445	Athe_1493
fig|31899.10.peg.1987|SAMN05216182_1773	WP_015907948.1	ATHE_RS07450	Athe_1494
fig|31899.10.peg.1988|SAMN05216182_1774	WP_013430187.1	ATHE_RS07455	Athe_1495
fig|31899.10.peg.1989|SAMN05216182_1775	WP_015907950.1	ATHE_RS07460	Athe_1496
fig|31899.10.peg.1990|SAMN05216182_1776	WP_015907951.1	ATHE_RS07465	Athe_1497
fig|31899.10.peg.1991|SAMN05216182_1777	WP_015907952.1	ATHE_RS07470	Athe_1498
fig|31899.10.peg.1992|SAMN05216182_1778	WP_015907953.1	ATHE_RS07475	Athe_1499
fig|31899.10.peg.1993|SAMN05216182_1779	WP_015907954.1	ATHE_RS07480	Athe_1500
fig|31899.10.peg.1994|SAMN05216182_1780	WP_015907955.1	ATHE_RS07485	Athe_1501
fig|31899.10.peg.1995|SAMN05216182_1781	WP_013403131.1	ATHE_RS07490	Athe_1502
fig|31899.10.peg.1996|SAMN05216182_1782	WP_015907956.1	ATHE_RS07495	Athe_1503
fig|31899.10.peg.1997|SAMN05216182_1783	WP_015907957.1	ATHE_RS07500	Athe_1504
fig|31899.10.peg.1998|SAMN05216182_1784	WP_015907958.1	ATHE_RS07505	Athe_1505
fig|31899.10.peg.1999|SAMN05216182_1785	WP_015907959.1	ATHE_RS07510	Athe_1506
fig|31899.10.peg.2000|SAMN05216182_1786	WP_015907960.1	ATHE_RS07515	Athe_1507
fig|31899.10.peg.2001|SAMN05216182_1787	WP_015907961.1	ATHE_RS07520	Athe_1508
fig|31899.10.peg.2002|SAMN05216182_1788	WP_015907962.1	ATHE_RS07525	Athe_1509
fig|31899.10.peg.2004|SAMN05216182_1789	WP_013430173.1	ATHE_RS07530	Athe_1510
fig|31899.10.peg.2007|SAMN05216182_1792	WP_015907964.1	ATHE_RS07545	Athe_1512
fig|31899.10.peg.2010|SAMN05216182_1794	WP_015907967.1	ATHE_RS07555	Athe_1515
fig|31899.10.peg.2011|SAMN05216182_1795	WP_015907968.1	ATHE_RS07560	Athe_1516
fig|31899.10.peg.2012|SAMN05216182_1801	WP_013430170.1	ATHE_RS07590	Athe_1517
fig|31899.10.peg.2013|SAMN05216182_1802	WP_015907969.1	ATHE_RS07595	Athe_1518
fig|31899.10.peg.2014|SAMN05216182_1803	WP_015907970.1	ATHE_RS07600	Athe_1519
fig|31899.10.peg.2015|SAMN05216182_1804	WP_015907971.1	ATHE_RS07605	Athe_1520
fig|31899.10.peg.2016|SAMN05216182_1805	WP_013430166.1	ATHE_RS07610	Athe_1521
fig|31899.10.peg.2017|SAMN05216182_1806	WP_015907972.1	ATHE_RS07615	Athe_1522
fig|31899.10.peg.2018|SAMN05216182_1807	WP_015907973.1	ATHE_RS07620	Athe_1523
