fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780
fig|31899.10.peg.1017|SAMN05216182_0848	WP_015907163.1	ATHE_RS02900
fig|31899.10.peg.1018|SAMN05216182_0849	WP_015907164.1	ATHE_RS02905
fig|31899.10.peg.1019|SAMN05216182_0850	WP_015907165.1	ATHE_RS02910
fig|31899.10.peg.1020|SAMN05216182_0851	WP_015907166.1	ATHE_RS02915
fig|31899.10.peg.1021|SAMN05216182_0852	WP_015907167.1	ATHE_RS02920
fig|31899.10.peg.1023|SAMN05216182_0855	WP_015907169.1	ATHE_RS02930
fig|31899.10.peg.1024|SAMN05216182_0856	WP_015907170.1	ATHE_RS02935
fig|31899.10.peg.1025|SAMN05216182_0857	WP_015907171.1	ATHE_RS02940
fig|31899.10.peg.1026|SAMN05216182_0858	WP_015907172.1	ATHE_RS02945
fig|31899.10.peg.1027|SAMN05216182_0859	WP_015907173.1	ATHE_RS02950
fig|31899.10.peg.1029|SAMN05216182_0860	WP_015907174.1	ATHE_RS02955
fig|31899.10.peg.1030|SAMN05216182_0861	WP_015907175.1	ATHE_RS02960
fig|31899.10.peg.1031|SAMN05216182_0862	WP_015907176.1	ATHE_RS02965
fig|31899.10.peg.1032|SAMN05216182_0863	WP_015907177.1	ATHE_RS02970
fig|31899.10.peg.1033|SAMN05216182_0864	WP_015907178.1	ATHE_RS02975
fig|31899.10.peg.1034|SAMN05216182_0865	WP_015907179.1	ATHE_RS02980
fig|31899.10.peg.1035|SAMN05216182_0866	WP_015907180.1	ATHE_RS02985
fig|31899.10.peg.1036|SAMN05216182_0867	WP_015907181.1	ATHE_RS02990
fig|31899.10.peg.1037|SAMN05216182_0868	WP_015907182.1	ATHE_RS02995
fig|31899.10.peg.1038|SAMN05216182_0869	WP_015907183.1	ATHE_RS03000
fig|31899.10.peg.1039|SAMN05216182_0870	WP_015907184.1	ATHE_RS03005
fig|31899.10.peg.1043|SAMN05216182_0873	WP_015907186.1	ATHE_RS03020
fig|31899.10.peg.1045|SAMN05216182_0874	WP_015907187.1	ATHE_RS03030
fig|31899.10.peg.1046|SAMN05216182_0875	WP_015907188.1	ATHE_RS03035
fig|31899.10.peg.1051|SAMN05216182_0877	WP_015907189.1	ATHE_RS03050
fig|31899.10.peg.1052|SAMN05216182_0878	WP_015907190.1	ATHE_RS03055
fig|31899.10.peg.1053|SAMN05216182_0879	WP_015907191.1	ATHE_RS03060
fig|31899.10.peg.1054|SAMN05216182_0880	WP_015907192.1	ATHE_RS03065
fig|31899.10.peg.1055|SAMN05216182_0881	WP_015907193.1	ATHE_RS03070
fig|31899.10.peg.1056|SAMN05216182_0882	WP_015907194.1	ATHE_RS03075
fig|31899.10.peg.1057|SAMN05216182_0883	WP_015907195.1	ATHE_RS03080
fig|31899.10.peg.1059|SAMN05216182_0884	WP_015907196.1	ATHE_RS03085
fig|31899.10.peg.1060|SAMN05216182_0885	WP_015907197.1	ATHE_RS03090
fig|31899.10.peg.1061|SAMN05216182_0886	WP_013289899.1	ATHE_RS03095
fig|31899.10.peg.1062|SAMN05216182_0887	WP_013289901.1	ATHE_RS14235
fig|31899.10.peg.1064|SAMN05216182_0888	WP_015907198.1	ATHE_RS03100
fig|31899.10.peg.1065|SAMN05216182_0889	WP_015907199.1	ATHE_RS03105
fig|31899.10.peg.1066|SAMN05216182_0890	WP_015907200.1	ATHE_RS03110
fig|31899.10.peg.1067|SAMN05216182_0891	WP_015907201.1	ATHE_RS03115
fig|31899.10.peg.1068|SAMN05216182_0892	WP_015907202.1	ATHE_RS03120
fig|31899.10.peg.1069|SAMN05216182_0893	WP_015907203.1	ATHE_RS03125
fig|31899.10.peg.1070|SAMN05216182_0894	WP_041727071.1	ATHE_RS03130
fig|31899.10.peg.1071|SAMN05216182_0895	WP_015907205.1	ATHE_RS03135
fig|31899.10.peg.1072|SAMN05216182_0896	WP_015907206.1	ATHE_RS03140
fig|31899.10.peg.1073|SAMN05216182_0897	WP_015907207.1	ATHE_RS03145
fig|31899.10.peg.1074|SAMN05216182_0898	WP_013403882.1	ATHE_RS03150
fig|31899.10.peg.1075|SAMN05216182_0899	WP_015907208.1	ATHE_RS03155
fig|31899.10.peg.1076|SAMN05216182_0900	WP_015907209.1	ATHE_RS03160
fig|31899.10.peg.1078|SAMN05216182_0902	WP_015907210.1	ATHE_RS03170
fig|31899.10.peg.1079|SAMN05216182_0903	WP_015907211.1	ATHE_RS03175
fig|31899.10.peg.1080|SAMN05216182_0904	WP_015907212.1	ATHE_RS03180
fig|31899.10.peg.1081|SAMN05216182_0905	WP_015907213.1	ATHE_RS03185
fig|31899.10.peg.1082|SAMN05216182_0906	WP_015907214.1	ATHE_RS03190
fig|31899.10.peg.1083|SAMN05216182_0907	WP_015907215.1	ATHE_RS03195
fig|31899.10.peg.1084|SAMN05216182_0908	WP_015907216.1	ATHE_RS03200
fig|31899.10.peg.1086|SAMN05216182_0910	WP_015907218.1	ATHE_RS03210
fig|31899.10.peg.1088|SAMN05216182_0911	WP_015907219.1	ATHE_RS03215
fig|31899.10.peg.1089|SAMN05216182_0912	WP_015907220.1	ATHE_RS03220
fig|31899.10.peg.1090|SAMN05216182_0913	WP_015907221.1	ATHE_RS03225
fig|31899.10.peg.1091|SAMN05216182_0914	WP_015907222.1	ATHE_RS03230
fig|31899.10.peg.1093|SAMN05216182_0916	WP_015907224.1	ATHE_RS03240
fig|31899.10.peg.1094|SAMN05216182_0917	WP_013430895.1	ATHE_RS03245
fig|31899.10.peg.1095|SAMN05216182_0918	WP_015907225.1	ATHE_RS03250
fig|31899.10.peg.1096|SAMN05216182_0919	WP_015907226.1	ATHE_RS03255
fig|31899.10.peg.1097|SAMN05216182_0920	WP_015907227.1	ATHE_RS03260
fig|31899.10.peg.1098	WP_079504002.1	ATHE_RS14240
fig|31899.10.peg.1099|SAMN05216182_0922	WP_013430891.1	ATHE_RS03270
fig|31899.10.peg.1100|SAMN05216182_0923	WP_015907228.1	ATHE_RS03275
fig|31899.10.peg.1101|SAMN05216182_0924	WP_013430889.1	ATHE_RS03280
fig|31899.10.peg.1104|SAMN05216182_0927	WP_015907231.1	ATHE_RS03295
fig|31899.10.peg.1105|SAMN05216182_0928	WP_015907232.1	ATHE_RS03300
fig|31899.10.peg.1107|SAMN05216182_0929	WP_015907233.1	ATHE_RS03305
fig|31899.10.peg.1108	WP_041727075.1	ATHE_RS03310
fig|31899.10.peg.1109|SAMN05216182_0930	WP_015907234.1	ATHE_RS03315
fig|31899.10.peg.1110|SAMN05216182_0931	WP_015907235.1	ATHE_RS03320
fig|31899.10.peg.1111|SAMN05216182_0932	WP_015907236.1	ATHE_RS03325
fig|31899.10.peg.1115|SAMN05216182_0935	WP_015907237.1	ATHE_RS03335
fig|31899.10.peg.1124|SAMN05216182_0940	WP_015907238.1	ATHE_RS03350
fig|31899.10.peg.1125|SAMN05216182_0941	WP_015907239.1	ATHE_RS03355
fig|31899.10.peg.1126|SAMN05216182_0942	WP_015907240.1	ATHE_RS03360
fig|31899.10.peg.1127|SAMN05216182_0943	WP_041727077.1	ATHE_RS03365
fig|31899.10.peg.1128|SAMN05216182_0944	WP_015907242.1	ATHE_RS03370
fig|31899.10.peg.1129|SAMN05216182_0945	WP_015907243.1	ATHE_RS03375
fig|31899.10.peg.1130|SAMN05216182_0946	WP_013430872.1	ATHE_RS03380
fig|31899.10.peg.1131|SAMN05216182_0947	WP_013430871.1	ATHE_RS03385
fig|31899.10.peg.1136|SAMN05216182_0950	WP_013403845.1	ATHE_RS03400
fig|31899.10.peg.1139|SAMN05216182_0952	WP_013430869.1	ATHE_RS03415
fig|31899.10.peg.1140|SAMN05216182_0953	WP_015907245.1	ATHE_RS03420
fig|31899.10.peg.1142|SAMN05216182_0955	WP_015907247.1	ATHE_RS03430
fig|31899.10.peg.1143|SAMN05216182_0956	WP_041727080.1	ATHE_RS03435
fig|31899.10.peg.1144|SAMN05216182_0957	WP_015907249.1	ATHE_RS03440
fig|31899.10.peg.1145|SAMN05216182_0958	WP_015907250.1	ATHE_RS03445
fig|31899.10.peg.1146|SAMN05216182_0959	WP_015907251.1	ATHE_RS03450
fig|31899.10.peg.1149|SAMN05216182_0961	WP_015907252.1	ATHE_RS03460
fig|31899.10.peg.1150|SAMN05216182_0962	WP_015907253.1	ATHE_RS03465
fig|31899.10.peg.1151|SAMN05216182_0963	WP_015907254.1	ATHE_RS03470
fig|31899.10.peg.1152|SAMN05216182_0964	WP_015907255.1	ATHE_RS03475
fig|31899.10.peg.1153|SAMN05216182_0965	WP_015907256.1	ATHE_RS03480
fig|31899.10.peg.1154|SAMN05216182_0966	WP_015907257.1	ATHE_RS03485
fig|31899.10.peg.1155|SAMN05216182_0967	WP_015907258.1	ATHE_RS03490
fig|31899.10.peg.1156|SAMN05216182_0968	WP_015907259.1	ATHE_RS03495
fig|31899.10.peg.1157|SAMN05216182_0969	WP_015907260.1	ATHE_RS03500
fig|31899.10.peg.1158|SAMN05216182_0970	WP_015907261.1	ATHE_RS03505
fig|31899.10.peg.1159|SAMN05216182_0971	WP_015907262.1	ATHE_RS03510
fig|31899.10.peg.1160|SAMN05216182_0972	WP_015907263.1	ATHE_RS03515
fig|31899.10.peg.1162|SAMN05216182_0974	WP_015907265.1	ATHE_RS03525
fig|31899.10.peg.1163|SAMN05216182_0975	WP_013430845.1	ATHE_RS03530
fig|31899.10.peg.1164|SAMN05216182_0976	WP_015907266.1	ATHE_RS03535
fig|31899.10.peg.1165|SAMN05216182_0977	WP_015907267.1	ATHE_RS03540
fig|31899.10.peg.1166|SAMN05216182_0978	WP_015907268.1	ATHE_RS03545
fig|31899.10.peg.1168|SAMN05216182_0980	WP_015907270.1	ATHE_RS03555
fig|31899.10.peg.1169|SAMN05216182_0981	WP_015907271.1	ATHE_RS03560
fig|31899.10.peg.1170|SAMN05216182_0982	WP_015907272.1	ATHE_RS03565
fig|31899.10.peg.1171|SAMN05216182_0983	WP_015907273.1	ATHE_RS03570
fig|31899.10.peg.1172|SAMN05216182_0984	WP_015907274.1	ATHE_RS03575
fig|31899.10.peg.1176|SAMN05216182_0988	WP_015907278.1	ATHE_RS03585
fig|31899.10.peg.1177|SAMN05216182_0989	WP_015907279.1	ATHE_RS03590
fig|31899.10.peg.1178|SAMN05216182_0990	WP_015907280.1	ATHE_RS03595
fig|31899.10.peg.1179	WP_015907281.1	ATHE_RS03600
fig|31899.10.peg.1180	WP_015907282.1	ATHE_RS03605
fig|31899.10.peg.1181|SAMN05216182_0992	WP_015907283.1	ATHE_RS03610
fig|31899.10.peg.1182|SAMN05216182_0993	WP_015907284.1	ATHE_RS03615
fig|31899.10.peg.1184|SAMN05216182_0994	WP_015906731.1	ATHE_RS13960
fig|31899.10.peg.1185|SAMN05216182_0995	WP_015907285.1	ATHE_RS03625
fig|31899.10.peg.1186|SAMN05216182_0996	WP_011916452.1	ATHE_RS03630
fig|31899.10.peg.1187|SAMN05216182_0997	WP_015907286.1	ATHE_RS03635
fig|31899.10.peg.1188|SAMN05216182_0998	WP_015907287.1	ATHE_RS03640
fig|31899.10.peg.1189|SAMN05216182_0999	WP_015907288.1	ATHE_RS03645
fig|31899.10.peg.1192|SAMN05216182_1002	WP_015907291.1	ATHE_RS03660
fig|31899.10.peg.1193|SAMN05216182_1003	WP_015907292.1	ATHE_RS03665
fig|31899.10.peg.1194|SAMN05216182_1004	WP_015907293.1	ATHE_RS03670
fig|31899.10.peg.1195|SAMN05216182_1005	WP_015907294.1	ATHE_RS03675
fig|31899.10.peg.1196|SAMN05216182_1006	WP_015907295.1	ATHE_RS03680
fig|31899.10.peg.1197|SAMN05216182_1007	WP_015907296.1	ATHE_RS03685
fig|31899.10.peg.1198|SAMN05216182_1008	WP_012660747.1	ATHE_RS14005
fig|31899.10.peg.1200|SAMN05216182_1009	WP_015907297.1	ATHE_RS03695
fig|31899.10.peg.1201|SAMN05216182_1010	WP_015907298.1	ATHE_RS03700
fig|31899.10.peg.1202|SAMN05216182_1011	WP_015907299.1	ATHE_RS03705
fig|31899.10.peg.1203|SAMN05216182_1012	WP_015907300.1	ATHE_RS03710
fig|31899.10.peg.1204|SAMN05216182_1014	WP_015907301.1	ATHE_RS03720
fig|31899.10.peg.1205|SAMN05216182_1015	WP_015907302.1	ATHE_RS03725
fig|31899.10.peg.1206|SAMN05216182_1016	WP_015907303.1	ATHE_RS03730
fig|31899.10.peg.1207|SAMN05216182_1017	WP_015907304.1	ATHE_RS03735
fig|31899.10.peg.1208|SAMN05216182_1018	WP_015907305.1	ATHE_RS03740
fig|31899.10.peg.1209|SAMN05216182_1019	WP_015907306.1	ATHE_RS03745
fig|31899.10.peg.1210|SAMN05216182_1020	WP_015907307.1	ATHE_RS03750
fig|31899.10.peg.1211|SAMN05216182_1021	WP_015907308.1	ATHE_RS03755
fig|31899.10.peg.1212|SAMN05216182_1027	WP_015907309.1	ATHE_RS03785
fig|31899.10.peg.1213|SAMN05216182_1028	WP_015907310.1	ATHE_RS03790
fig|31899.10.peg.1216|SAMN05216182_1029	WP_015907311.1	ATHE_RS03795
fig|31899.10.peg.1217|SAMN05216182_1030	WP_015907312.1	ATHE_RS03800
fig|31899.10.peg.1218|SAMN05216182_1031	WP_015907313.1	ATHE_RS03805
fig|31899.10.peg.1219|SAMN05216182_1032	WP_015907314.1	ATHE_RS03810
fig|31899.10.peg.1220|SAMN05216182_1033	WP_015907315.1	ATHE_RS03815
fig|31899.10.peg.1222|SAMN05216182_1035	WP_015907317.1	ATHE_RS03825
fig|31899.10.peg.1225|SAMN05216182_1037	WP_015907319.1	ATHE_RS03835
fig|31899.10.peg.1226|SAMN05216182_1038	WP_015907320.1	ATHE_RS03840
fig|31899.10.peg.1227|SAMN05216182_1039	WP_015907321.1	ATHE_RS03845
fig|31899.10.peg.1228|SAMN05216182_1040	WP_015907322.1	ATHE_RS03850
fig|31899.10.peg.1230|SAMN05216182_1042	WP_015907324.1	ATHE_RS03860
fig|31899.10.peg.1231|SAMN05216182_1043	WP_015907325.1	ATHE_RS03865
fig|31899.10.peg.1233|SAMN05216182_1045	WP_015907327.1	ATHE_RS03875
fig|31899.10.peg.1234|SAMN05216182_1046	WP_015907328.1	ATHE_RS03880
fig|31899.10.peg.1235|SAMN05216182_1047	WP_015907329.1	ATHE_RS03885
fig|31899.10.peg.1237|SAMN05216182_1049	WP_015907331.1	ATHE_RS03895
fig|31899.10.peg.1240|SAMN05216182_1052	WP_015907333.1	ATHE_RS03910
fig|31899.10.peg.1241|SAMN05216182_1053	WP_013430797.1	ATHE_RS03915
fig|31899.10.peg.1242|SAMN05216182_1054	WP_015907334.1	ATHE_RS03920
fig|31899.10.peg.1243|SAMN05216182_1055	WP_013430795.1	ATHE_RS03925
fig|31899.10.peg.1244|SAMN05216182_1056	WP_015907335.1	ATHE_RS03930
fig|31899.10.peg.1245|SAMN05216182_1057	WP_015907336.1	ATHE_RS03935
fig|31899.10.peg.1246|SAMN05216182_1058	WP_015907337.1	ATHE_RS03940
fig|31899.10.peg.1247|SAMN05216182_1059	WP_015907338.1	ATHE_RS03945
fig|31899.10.peg.1248|SAMN05216182_1060	WP_015907339.1	ATHE_RS03950
fig|31899.10.peg.1249|SAMN05216182_1061	WP_015907340.1	ATHE_RS03955
fig|31899.10.peg.1250|SAMN05216182_1062	WP_015907341.1	ATHE_RS03960
fig|31899.10.peg.1251|SAMN05216182_1063	WP_015907342.1	ATHE_RS03965
fig|31899.10.peg.1252|SAMN05216182_1064	WP_015907343.1	ATHE_RS03970
fig|31899.10.peg.1253|SAMN05216182_1065	WP_015907344.1	ATHE_RS03975
fig|31899.10.peg.1254|SAMN05216182_1066	WP_015907345.1	ATHE_RS03980
fig|31899.10.peg.1255|SAMN05216182_1067	WP_015907346.1	ATHE_RS03985
fig|31899.10.peg.1256|SAMN05216182_1068	WP_015907347.1	ATHE_RS03990
fig|31899.10.peg.1257|SAMN05216182_1069	WP_041727092.1	ATHE_RS03995
fig|31899.10.peg.1258|SAMN05216182_1070	WP_015907349.1	ATHE_RS04000
fig|31899.10.peg.1259|SAMN05216182_1071	WP_015907350.1	ATHE_RS04005
fig|31899.10.peg.1260|SAMN05216182_1072	WP_015907351.1	ATHE_RS04010
fig|31899.10.peg.1261|SAMN05216182_1074	WP_015907352.1	ATHE_RS04015
fig|31899.10.peg.1262|SAMN05216182_1075	WP_015907353.1	ATHE_RS04020
fig|31899.10.peg.1263|SAMN05216182_1076	WP_015907354.1	ATHE_RS04025
fig|31899.10.peg.1264|SAMN05216182_1077	WP_015907355.1	ATHE_RS04030
fig|31899.10.peg.1265|SAMN05216182_1078	WP_013430775.1	ATHE_RS04035
fig|31899.10.peg.1266|SAMN05216182_1079	WP_013290052.1	ATHE_RS04040
fig|31899.10.peg.1267|SAMN05216182_1080	WP_013290053.1	ATHE_RS04045
fig|31899.10.peg.1268|SAMN05216182_1081	WP_015907356.1	ATHE_RS04050
fig|31899.10.peg.1269|SAMN05216182_1082	WP_013403741.1	ATHE_RS04055
fig|31899.10.peg.1270|SAMN05216182_1083	WP_015907357.1	ATHE_RS04060
fig|31899.10.peg.1271|SAMN05216182_1084	WP_013403739.1	ATHE_RS04065
fig|31899.10.peg.1272|SAMN05216182_1085	WP_015907358.1	ATHE_RS04070
fig|31899.10.peg.1273|SAMN05216182_1086	WP_015907359.1	ATHE_RS04075
fig|31899.10.peg.1274|SAMN05216182_1087	WP_015907360.1	ATHE_RS04080
fig|31899.10.peg.1275|SAMN05216182_1088	WP_015907361.1	ATHE_RS04085
fig|31899.10.peg.1276|SAMN05216182_1089	WP_013433105.1	ATHE_RS04090
fig|31899.10.peg.1277|SAMN05216182_1090	WP_015907362.1	ATHE_RS04095
fig|31899.10.peg.1278|SAMN05216182_1091	WP_015907363.1	ATHE_RS04100
fig|31899.10.peg.1279|SAMN05216182_1092	WP_013403731.1	ATHE_RS04105
fig|31899.10.peg.1280|SAMN05216182_1093	WP_015907364.1	ATHE_RS04110
fig|31899.10.peg.1281|SAMN05216182_1094	WP_015907365.1	ATHE_RS04115
fig|31899.10.peg.1282|SAMN05216182_1095	WP_015907366.1	ATHE_RS04120
fig|31899.10.peg.1284|SAMN05216182_1096	WP_015907367.1	ATHE_RS04125
fig|31899.10.peg.1285|SAMN05216182_1097	WP_015907368.1	ATHE_RS04130
fig|31899.10.peg.1286|SAMN05216182_1098	WP_015907369.1	ATHE_RS04135
fig|31899.10.peg.1287|SAMN05216182_1099	WP_015907370.1	ATHE_RS04140
fig|31899.10.peg.1288|SAMN05216182_1100	WP_015907371.1	ATHE_RS04145
fig|31899.10.peg.1289|SAMN05216182_1101	WP_041727351.1	ATHE_RS04150
fig|31899.10.peg.1290|SAMN05216182_1102	WP_015907373.1	ATHE_RS04155
fig|31899.10.peg.1291|SAMN05216182_1103	WP_015907374.1	ATHE_RS04160
fig|31899.10.peg.1292|SAMN05216182_1104	WP_015907375.1	ATHE_RS04165
fig|31899.10.peg.1293|SAMN05216182_1105	WP_015907376.1	ATHE_RS04170
fig|31899.10.peg.1294|SAMN05216182_1106	WP_015907377.1	ATHE_RS04175
fig|31899.10.peg.1295|SAMN05216182_1107	WP_015907378.1	ATHE_RS04180
fig|31899.10.peg.1296|SAMN05216182_1108	WP_015907379.1	ATHE_RS04185
fig|31899.10.peg.1297|SAMN05216182_1109	WP_015907380.1	ATHE_RS04190
fig|31899.10.peg.1298|SAMN05216182_1110	WP_015907381.1	ATHE_RS04195
fig|31899.10.peg.1299|SAMN05216182_1111	WP_015907382.1	ATHE_RS04200
fig|31899.10.peg.1300|SAMN05216182_1112	WP_015907383.1	ATHE_RS04205
fig|31899.10.peg.1301|SAMN05216182_1113	WP_015907384.1	ATHE_RS04210
fig|31899.10.peg.1302|SAMN05216182_1114	WP_015907385.1	ATHE_RS04215
fig|31899.10.peg.1303|SAMN05216182_1115	WP_015907386.1	ATHE_RS04220
fig|31899.10.peg.1304|SAMN05216182_1116	WP_015907387.1	ATHE_RS04225
fig|31899.10.peg.1305|SAMN05216182_1117	WP_015907388.1	ATHE_RS04230
fig|31899.10.peg.1306|SAMN05216182_1118	WP_015907389.1	ATHE_RS04235
fig|31899.10.peg.1307|SAMN05216182_1119	WP_015907390.1	ATHE_RS04240
fig|31899.10.peg.1308|SAMN05216182_1120	WP_015907391.1	ATHE_RS04245
fig|31899.10.peg.1309|SAMN05216182_1121	WP_015907392.1	ATHE_RS04250
fig|31899.10.peg.1310|SAMN05216182_1122	WP_015907393.1	ATHE_RS04255
fig|31899.10.peg.1311|SAMN05216182_1123	WP_013430735.1	ATHE_RS04260
fig|31899.10.peg.1312|SAMN05216182_1124	WP_015907394.1	ATHE_RS04265
fig|31899.10.peg.1313|SAMN05216182_1125	WP_015907395.1	ATHE_RS04270
fig|31899.10.peg.1314|SAMN05216182_1126	WP_015907396.1	ATHE_RS04275
fig|31899.10.peg.1315|SAMN05216182_1127	WP_015907397.1	ATHE_RS04280
fig|31899.10.peg.1316|SAMN05216182_1128	WP_015907398.1	ATHE_RS04285
fig|31899.10.peg.1318|SAMN05216182_1130	WP_041727097.1	ATHE_RS04295
fig|31899.10.peg.1319|SAMN05216182_1131	WP_041727099.1	ATHE_RS04300
fig|31899.10.peg.1320|SAMN05216182_1132	WP_015907400.1	ATHE_RS04305
fig|31899.10.peg.1321|SAMN05216182_1133	WP_015907401.1	ATHE_RS04310
fig|31899.10.peg.1322|SAMN05216182_1134	WP_015907402.1	ATHE_RS04315
fig|31899.10.peg.1324|SAMN05216182_1136	WP_015907403.1	ATHE_RS09670
fig|31899.10.peg.1329|SAMN05216182_1141	WP_015907405.1	ATHE_RS04350
fig|31899.10.peg.1330|SAMN05216182_1142	WP_015907406.1	ATHE_RS04355
fig|31899.10.peg.1333|SAMN05216182_1145	WP_015907407.1	ATHE_RS04365
fig|31899.10.peg.1334|SAMN05216182_1146	WP_015907408.1	ATHE_RS04370
fig|31899.10.peg.1335|SAMN05216182_1148	WP_015907409.1	ATHE_RS04380
fig|31899.10.peg.1336|SAMN05216182_1149	WP_015907410.1	ATHE_RS04385
fig|31899.10.peg.1337|SAMN05216182_1150	WP_015907411.1	ATHE_RS04390
fig|31899.10.peg.1338|SAMN05216182_1151	WP_013290123.1	ATHE_RS04395
fig|31899.10.peg.1339|SAMN05216182_1152	WP_015907412.1	ATHE_RS04400
fig|31899.10.peg.1340|SAMN05216182_1153	WP_015907413.1	ATHE_RS04405
fig|31899.10.peg.1341|SAMN05216182_1154	WP_015907414.1	ATHE_RS04410
fig|31899.10.peg.1342|SAMN05216182_1155	WP_041727355.1	ATHE_RS04415
fig|31899.10.peg.1343|SAMN05216182_1156	WP_015907416.1	ATHE_RS04420
fig|31899.10.peg.1344|SAMN05216182_1157	WP_015907417.1	ATHE_RS04425
fig|31899.10.peg.1345|SAMN05216182_1158	WP_015907418.1	ATHE_RS04430
fig|31899.10.peg.1347|SAMN05216182_1160	WP_015907420.1	ATHE_RS04440
fig|31899.10.peg.1348|SAMN05216182_1161	WP_015907421.1	ATHE_RS04445
fig|31899.10.peg.1349|SAMN05216182_1162	WP_015907422.1	ATHE_RS04450
fig|31899.10.peg.1351|SAMN05216182_1164	WP_015907423.1	ATHE_RS04460
fig|31899.10.peg.1353|SAMN05216182_1165	WP_015907425.1	ATHE_RS04465
fig|31899.10.peg.1354|SAMN05216182_1166	WP_015907426.1	ATHE_RS04470
fig|31899.10.peg.1355|SAMN05216182_1167	WP_015907427.1	ATHE_RS04475
fig|31899.10.peg.1356|SAMN05216182_1168	WP_015906731.1	ATHE_RS13960
fig|31899.10.peg.1358|SAMN05216182_1170	WP_041727102.1	ATHE_RS04490
fig|31899.10.peg.1359|SAMN05216182_1171	WP_015907429.1	ATHE_RS04495
fig|31899.10.peg.1360|SAMN05216182_1172	WP_014042880.1	ATHE_RS04500
fig|31899.10.peg.1361|SAMN05216182_1173	WP_015907430.1	ATHE_RS04505
fig|31899.10.peg.1365|SAMN05216182_1176	WP_015907431.1	ATHE_RS04520
fig|31899.10.peg.1366|SAMN05216182_1177	WP_015907432.1	ATHE_RS04525
fig|31899.10.peg.1370|SAMN05216182_1180	WP_015907434.1	ATHE_RS14265
fig|31899.10.peg.1371|SAMN05216182_1181	WP_015907435.1	ATHE_RS04535
fig|31899.10.peg.1375	WP_041727108.1	ATHE_RS04555
fig|31899.10.peg.1376|SAMN05216182_1185	WP_015907437.1	ATHE_RS04560
fig|31899.10.peg.1377|SAMN05216182_1186	WP_015907438.1	ATHE_RS04565
fig|31899.10.peg.1378|SAMN05216182_1187	WP_015907439.1	ATHE_RS04570
fig|31899.10.peg.1379|SAMN05216182_1188	WP_015907440.1	ATHE_RS04575
fig|31899.10.peg.1380|SAMN05216182_1189	WP_015907441.1	ATHE_RS04580
fig|31899.10.peg.1386|SAMN05216182_1194	WP_015907446.1	ATHE_RS04605
fig|31899.10.peg.1390|SAMN05216182_1196	WP_041727110.1	ATHE_RS04615
fig|31899.10.peg.1392|SAMN05216182_1198	WP_015907451.1	ATHE_RS04625
fig|31899.10.peg.1394	WP_015907453.1	ATHE_RS04635
fig|31899.10.peg.1396|SAMN05216182_1201	WP_015907455.1	ATHE_RS04645
fig|31899.10.peg.1397|SAMN05216182_1202	WP_015907456.1	ATHE_RS04650
fig|31899.10.peg.1398|SAMN05216182_1203	WP_015907457.1	ATHE_RS04655
fig|31899.10.peg.1400|SAMN05216182_1205	WP_015907458.1	ATHE_RS04660
fig|31899.10.peg.1401|SAMN05216182_1206	WP_015907459.1	ATHE_RS04665
fig|31899.10.peg.1402|SAMN05216182_1207	WP_015907460.1	ATHE_RS04670
fig|31899.10.peg.1403|SAMN05216182_1208	WP_013430681.1	ATHE_RS04675
fig|31899.10.peg.1404|SAMN05216182_1209	WP_015907461.1	ATHE_RS04680
fig|31899.10.peg.1405|SAMN05216182_1210	WP_015907462.1	ATHE_RS04685
fig|31899.10.peg.1406|SAMN05216182_1211	WP_015907463.1	ATHE_RS04690
fig|31899.10.peg.1407|SAMN05216182_1212	WP_015907464.1	ATHE_RS04695
fig|31899.10.peg.1408|SAMN05216182_1213	WP_015907465.1	ATHE_RS04700
fig|31899.10.peg.1409|SAMN05216182_1214	WP_015907466.1	ATHE_RS04705
fig|31899.10.peg.1410|SAMN05216182_1215	WP_015907467.1	ATHE_RS04710
fig|31899.10.peg.1411|SAMN05216182_1216	WP_015907468.1	ATHE_RS04715
fig|31899.10.peg.1412|SAMN05216182_1217	WP_015907469.1	ATHE_RS04720
fig|31899.10.peg.1413|SAMN05216182_1218	WP_015907470.1	ATHE_RS04725
fig|31899.10.peg.1414	WP_015907471.1	ATHE_RS04730
fig|31899.10.peg.1421|SAMN05216182_1222	WP_015907473.1	ATHE_RS04740
fig|31899.10.peg.1422|SAMN05216182_1223	WP_015907474.1	ATHE_RS04745
fig|31899.10.peg.1423|SAMN05216182_1224	WP_015907475.1	ATHE_RS04750
fig|31899.10.peg.1425|SAMN05216182_1225	WP_015907476.1	ATHE_RS04755
fig|31899.10.peg.1428|SAMN05216182_1228	WP_015907478.1	ATHE_RS04765
fig|31899.10.peg.1429|SAMN05216182_1229	WP_015907479.1	ATHE_RS04770
fig|31899.10.peg.1430|SAMN05216182_1230	WP_015907480.1	ATHE_RS04775
fig|31899.10.peg.1431|SAMN05216182_1231	WP_015907481.1	ATHE_RS04780
fig|31899.10.peg.1432|SAMN05216182_1232	WP_015907482.1	ATHE_RS04785
fig|31899.10.peg.1434|SAMN05216182_1233	WP_015907483.1	ATHE_RS04790
fig|31899.10.peg.1437|SAMN05216182_1236	WP_015907484.1	ATHE_RS04800
fig|31899.10.peg.1438|SAMN05216182_1237	WP_015907485.1	ATHE_RS04805
