fig|31899.10.peg.70	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.1097	WP_015907227.1	ATHE_RS03260	Athe_0655
fig|31899.10.peg.1098	WP_079504002.1	ATHE_RS14240	NA
fig|31899.10.peg.1099	WP_013430891.1	ATHE_RS03270	Athe_0656
fig|31899.10.peg.1100	WP_015907228.1	ATHE_RS03275	Athe_0657
fig|31899.10.peg.1101	WP_013430889.1	ATHE_RS03280	Athe_0658
fig|31899.10.peg.1104	WP_015907231.1	ATHE_RS03295	Athe_0661
fig|31899.10.peg.1105	WP_015907232.1	ATHE_RS03300	Athe_0662
fig|31899.10.peg.1107	WP_015907233.1	ATHE_RS03305	Athe_0663
fig|31899.10.peg.1108	WP_041727075.1	ATHE_RS03310	NA
fig|31899.10.peg.1109	WP_015907234.1	ATHE_RS03315	Athe_0664
fig|31899.10.peg.1110	WP_015907235.1	ATHE_RS03320	Athe_0665
fig|31899.10.peg.1111	WP_015907236.1	ATHE_RS03325	Athe_0666
fig|31899.10.peg.1115	WP_015907237.1	ATHE_RS03335	Athe_0668
fig|31899.10.peg.1124	WP_015907238.1	ATHE_RS03350	Athe_0673
fig|31899.10.peg.1125	WP_015907239.1	ATHE_RS03355	Athe_0674
fig|31899.10.peg.1126	WP_015907240.1	ATHE_RS03360	Athe_0675
fig|31899.10.peg.1127	WP_041727077.1	ATHE_RS03365	Athe_0676
fig|31899.10.peg.1128	WP_015907242.1	ATHE_RS03370	Athe_0677
fig|31899.10.peg.1129	WP_015907243.1	ATHE_RS03375	Athe_0678
fig|31899.10.peg.1130	WP_013430872.1	ATHE_RS03380	Athe_0679
fig|31899.10.peg.1131	WP_013430871.1	ATHE_RS03385	Athe_0680
fig|31899.10.peg.1136	WP_013403845.1	ATHE_RS03400	Athe_0684
fig|31899.10.peg.1139	WP_013430869.1	ATHE_RS03415	Athe_0686
fig|31899.10.peg.1140	WP_015907245.1	ATHE_RS03420	Athe_0687
fig|31899.10.peg.1142	WP_015907247.1	ATHE_RS03430	Athe_0689
fig|31899.10.peg.1143	WP_041727080.1	ATHE_RS03435	Athe_0690
fig|31899.10.peg.1144	WP_015907249.1	ATHE_RS03440	Athe_0691
fig|31899.10.peg.1145	WP_015907250.1	ATHE_RS03445	Athe_0692
fig|31899.10.peg.1146	WP_015907251.1	ATHE_RS03450	Athe_0693
fig|31899.10.peg.1149	WP_015907252.1	ATHE_RS03460	Athe_0695
fig|31899.10.peg.1150	WP_015907253.1	ATHE_RS03465	Athe_0696
fig|31899.10.peg.1151	WP_015907254.1	ATHE_RS03470	Athe_0697
fig|31899.10.peg.1152	WP_015907255.1	ATHE_RS03475	Athe_0698
fig|31899.10.peg.1153	WP_015907256.1	ATHE_RS03480	Athe_0699
fig|31899.10.peg.1154	WP_015907257.1	ATHE_RS03485	Athe_0700
fig|31899.10.peg.1155	WP_015907258.1	ATHE_RS03490	Athe_0701
fig|31899.10.peg.1156	WP_015907259.1	ATHE_RS03495	Athe_0702
fig|31899.10.peg.1157	WP_015907260.1	ATHE_RS03500	Athe_0703
fig|31899.10.peg.1158	WP_015907261.1	ATHE_RS03505	Athe_0704
fig|31899.10.peg.1159	WP_015907262.1	ATHE_RS03510	Athe_0705
fig|31899.10.peg.1160	WP_015907263.1	ATHE_RS03515	Athe_0706
fig|31899.10.peg.1162	WP_015907265.1	ATHE_RS03525	Athe_0708
fig|31899.10.peg.1163	WP_013430845.1	ATHE_RS03530	Athe_0709
fig|31899.10.peg.1164	WP_015907266.1	ATHE_RS03535	Athe_0710
fig|31899.10.peg.1165	WP_015907267.1	ATHE_RS03540	Athe_0711
fig|31899.10.peg.1166	WP_015907268.1	ATHE_RS03545	Athe_0712
fig|31899.10.peg.1168	WP_015907270.1	ATHE_RS03555	Athe_0714
fig|31899.10.peg.1169	WP_015907271.1	ATHE_RS03560	Athe_0715
fig|31899.10.peg.1170	WP_015907272.1	ATHE_RS03565	Athe_0716
fig|31899.10.peg.1171	WP_015907273.1	ATHE_RS03570	Athe_0717
fig|31899.10.peg.1172	WP_015907274.1	ATHE_RS03575	NA
fig|31899.10.peg.1176	WP_015907278.1	ATHE_RS03585	Athe_0722
fig|31899.10.peg.1177	WP_015907279.1	ATHE_RS03590	Athe_0723
fig|31899.10.peg.1178	WP_015907280.1	ATHE_RS03595	Athe_0724
fig|31899.10.peg.1179	WP_015907281.1	ATHE_RS03600	Athe_0725
fig|31899.10.peg.1180	WP_015907282.1	ATHE_RS03605	Athe_0726
fig|31899.10.peg.1181	WP_015907283.1	ATHE_RS03610	Athe_0727
fig|31899.10.peg.1182	WP_015907284.1	ATHE_RS03615	Athe_0728
fig|31899.10.peg.1184	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.1185	WP_015907285.1	ATHE_RS03625	Athe_0730
fig|31899.10.peg.1186	WP_011916452.1	ATHE_RS03630	Athe_0731
fig|31899.10.peg.1187	WP_015907286.1	ATHE_RS03635	Athe_0732
fig|31899.10.peg.1188	WP_015907287.1	ATHE_RS03640	Athe_0733
fig|31899.10.peg.1189	WP_015907288.1	ATHE_RS03645	Athe_0734
fig|31899.10.peg.1192	WP_015907291.1	ATHE_RS03660	Athe_0737
fig|31899.10.peg.1193	WP_015907292.1	ATHE_RS03665	Athe_0738
fig|31899.10.peg.1194	WP_015907293.1	ATHE_RS03670	Athe_0739
fig|31899.10.peg.1195	WP_015907294.1	ATHE_RS03675	Athe_0740
fig|31899.10.peg.1196	WP_015907295.1	ATHE_RS03680	Athe_0741
fig|31899.10.peg.1197	WP_015907296.1	ATHE_RS03685	Athe_0742
fig|31899.10.peg.1198	WP_012660747.1	ATHE_RS14005	Athe_2773
fig|31899.10.peg.1200	WP_015907297.1	ATHE_RS03695	Athe_0744
fig|31899.10.peg.1201	WP_015907298.1	ATHE_RS03700	Athe_0745
fig|31899.10.peg.1202	WP_015907299.1	ATHE_RS03705	Athe_0746
fig|31899.10.peg.1203	WP_015907300.1	ATHE_RS03710	Athe_0747
fig|31899.10.peg.1204	WP_015907301.1	ATHE_RS03720	Athe_0748
fig|31899.10.peg.1205	WP_015907302.1	ATHE_RS03725	Athe_0749
fig|31899.10.peg.1206	WP_015907303.1	ATHE_RS03730	Athe_0750
fig|31899.10.peg.1207	WP_015907304.1	ATHE_RS03735	Athe_0751
fig|31899.10.peg.1208	WP_015907305.1	ATHE_RS03740	Athe_0752
fig|31899.10.peg.1209	WP_015907306.1	ATHE_RS03745	Athe_0753
fig|31899.10.peg.1210	WP_015907307.1	ATHE_RS03750	Athe_0754
fig|31899.10.peg.1211	WP_015907308.1	ATHE_RS03755	Athe_0755
fig|31899.10.peg.1212	WP_015907309.1	ATHE_RS03785	Athe_0756
fig|31899.10.peg.1213	WP_015907310.1	ATHE_RS03790	Athe_0757
fig|31899.10.peg.1216	WP_015907311.1	ATHE_RS03795	Athe_0758
fig|31899.10.peg.1217	WP_015907312.1	ATHE_RS03800	Athe_0759
fig|31899.10.peg.1218	WP_015907313.1	ATHE_RS03805	Athe_0760
fig|31899.10.peg.1219	WP_015907314.1	ATHE_RS03810	Athe_0761
fig|31899.10.peg.1220	WP_015907315.1	ATHE_RS03815	Athe_0762
fig|31899.10.peg.1222	WP_015907317.1	ATHE_RS03825	Athe_0764
fig|31899.10.peg.1225	WP_015907319.1	ATHE_RS03835	Athe_0766
fig|31899.10.peg.1226	WP_015907320.1	ATHE_RS03840	Athe_0767
fig|31899.10.peg.1227	WP_015907321.1	ATHE_RS03845	Athe_0768
fig|31899.10.peg.1228	WP_015907322.1	ATHE_RS03850	Athe_0769
fig|31899.10.peg.1230	WP_015907324.1	ATHE_RS03860	Athe_0771
fig|31899.10.peg.1231	WP_015907325.1	ATHE_RS03865	Athe_0772
fig|31899.10.peg.1233	WP_015907327.1	ATHE_RS03875	Athe_0774
fig|31899.10.peg.1234	WP_015907328.1	ATHE_RS03880	Athe_0775
fig|31899.10.peg.1235	WP_015907329.1	ATHE_RS03885	Athe_0776
fig|31899.10.peg.1237	WP_015907331.1	ATHE_RS03895	Athe_0778
fig|31899.10.peg.1240	WP_015907333.1	ATHE_RS03910	Athe_0781
fig|31899.10.peg.1241	WP_013430797.1	ATHE_RS03915	Athe_0782
fig|31899.10.peg.1242	WP_015907334.1	ATHE_RS03920	Athe_0783
fig|31899.10.peg.1243	WP_013430795.1	ATHE_RS03925	Athe_0784
fig|31899.10.peg.1244	WP_015907335.1	ATHE_RS03930	Athe_0785
fig|31899.10.peg.1245	WP_015907336.1	ATHE_RS03935	Athe_0786
fig|31899.10.peg.1246	WP_015907337.1	ATHE_RS03940	Athe_0787
fig|31899.10.peg.1247	WP_015907338.1	ATHE_RS03945	Athe_0788
fig|31899.10.peg.1248	WP_015907339.1	ATHE_RS03950	Athe_0789
fig|31899.10.peg.1249	WP_015907340.1	ATHE_RS03955	Athe_0790
fig|31899.10.peg.1250	WP_015907341.1	ATHE_RS03960	Athe_0791
fig|31899.10.peg.1251	WP_015907342.1	ATHE_RS03965	Athe_0792
fig|31899.10.peg.1252	WP_015907343.1	ATHE_RS03970	Athe_0793
fig|31899.10.peg.1253	WP_015907344.1	ATHE_RS03975	Athe_0794
fig|31899.10.peg.1254	WP_015907345.1	ATHE_RS03980	Athe_0795
fig|31899.10.peg.1255	WP_015907346.1	ATHE_RS03985	Athe_0796
fig|31899.10.peg.1256	WP_015907347.1	ATHE_RS03990	Athe_0797
fig|31899.10.peg.1257	WP_041727092.1	ATHE_RS03995	Athe_0798
fig|31899.10.peg.1258	WP_015907349.1	ATHE_RS04000	Athe_0799
fig|31899.10.peg.1259	WP_015907350.1	ATHE_RS04005	Athe_0800
fig|31899.10.peg.1260	WP_015907351.1	ATHE_RS04010	Athe_0801
fig|31899.10.peg.1261	WP_015907352.1	ATHE_RS04015	Athe_0802
fig|31899.10.peg.1262	WP_015907353.1	ATHE_RS04020	Athe_0803
fig|31899.10.peg.1263	WP_015907354.1	ATHE_RS04025	Athe_0804
fig|31899.10.peg.1264	WP_015907355.1	ATHE_RS04030	Athe_0805
fig|31899.10.peg.1265	WP_013430775.1	ATHE_RS04035	Athe_0806
fig|31899.10.peg.1266	WP_013290052.1	ATHE_RS04040	Athe_0807
fig|31899.10.peg.1267	WP_013290053.1	ATHE_RS04045	Athe_0808
fig|31899.10.peg.1268	WP_015907356.1	ATHE_RS04050	Athe_0809
fig|31899.10.peg.1269	WP_013403741.1	ATHE_RS04055	Athe_0810
fig|31899.10.peg.1270	WP_015907357.1	ATHE_RS04060	Athe_0811
fig|31899.10.peg.1271	WP_013403739.1	ATHE_RS04065	Athe_0812
fig|31899.10.peg.1272	WP_015907358.1	ATHE_RS04070	Athe_0813
fig|31899.10.peg.1273	WP_015907359.1	ATHE_RS04075	Athe_0814
fig|31899.10.peg.1274	WP_015907360.1	ATHE_RS04080	Athe_0815
fig|31899.10.peg.1275	WP_015907361.1	ATHE_RS04085	Athe_0816
fig|31899.10.peg.1276	WP_013433105.1	ATHE_RS04090	Athe_0817
fig|31899.10.peg.1277	WP_015907362.1	ATHE_RS04095	Athe_0818
fig|31899.10.peg.1278	WP_015907363.1	ATHE_RS04100	Athe_0819
fig|31899.10.peg.1279	WP_013403731.1	ATHE_RS04105	Athe_0820
fig|31899.10.peg.1280	WP_015907364.1	ATHE_RS04110	Athe_0821
fig|31899.10.peg.1281	WP_015907365.1	ATHE_RS04115	Athe_0822
fig|31899.10.peg.1282	WP_015907366.1	ATHE_RS04120	Athe_0823
fig|31899.10.peg.1284	WP_015907367.1	ATHE_RS04125	Athe_0824
fig|31899.10.peg.1285	WP_015907368.1	ATHE_RS04130	Athe_0825
fig|31899.10.peg.1286	WP_015907369.1	ATHE_RS04135	Athe_0826
fig|31899.10.peg.1287	WP_015907370.1	ATHE_RS04140	Athe_0827
fig|31899.10.peg.1288	WP_015907371.1	ATHE_RS04145	Athe_0828
fig|31899.10.peg.1289	WP_041727351.1	ATHE_RS04150	Athe_0829
fig|31899.10.peg.1290	WP_015907373.1	ATHE_RS04155	Athe_0830
fig|31899.10.peg.1291	WP_015907374.1	ATHE_RS04160	Athe_0831
fig|31899.10.peg.1292	WP_015907375.1	ATHE_RS04165	Athe_0832
fig|31899.10.peg.1293	WP_015907376.1	ATHE_RS04170	Athe_0833
fig|31899.10.peg.1294	WP_015907377.1	ATHE_RS04175	Athe_0834
fig|31899.10.peg.1295	WP_015907378.1	ATHE_RS04180	Athe_0835
fig|31899.10.peg.1296	WP_015907379.1	ATHE_RS04185	Athe_0836
fig|31899.10.peg.1297	WP_015907380.1	ATHE_RS04190	Athe_0837
fig|31899.10.peg.1298	WP_015907381.1	ATHE_RS04195	Athe_0838
fig|31899.10.peg.1299	WP_015907382.1	ATHE_RS04200	Athe_0839
fig|31899.10.peg.1300	WP_015907383.1	ATHE_RS04205	Athe_0840
fig|31899.10.peg.1301	WP_015907384.1	ATHE_RS04210	Athe_0841
fig|31899.10.peg.1302	WP_015907385.1	ATHE_RS04215	Athe_0842
fig|31899.10.peg.1303	WP_015907386.1	ATHE_RS04220	Athe_0843
fig|31899.10.peg.1304	WP_015907387.1	ATHE_RS04225	Athe_0844
fig|31899.10.peg.1305	WP_015907388.1	ATHE_RS04230	Athe_0845
fig|31899.10.peg.1306	WP_015907389.1	ATHE_RS04235	Athe_0846
fig|31899.10.peg.1307	WP_015907390.1	ATHE_RS04240	Athe_0847
fig|31899.10.peg.1308	WP_015907391.1	ATHE_RS04245	Athe_0848
fig|31899.10.peg.1309	WP_015907392.1	ATHE_RS04250	Athe_0849
fig|31899.10.peg.1310	WP_015907393.1	ATHE_RS04255	Athe_0850
fig|31899.10.peg.1311	WP_013430735.1	ATHE_RS04260	Athe_0851
fig|31899.10.peg.1312	WP_015907394.1	ATHE_RS04265	Athe_0852
fig|31899.10.peg.1313	WP_015907395.1	ATHE_RS04270	Athe_0853
fig|31899.10.peg.1314	WP_015907396.1	ATHE_RS04275	Athe_0854
fig|31899.10.peg.1315	WP_015907397.1	ATHE_RS04280	Athe_0855
fig|31899.10.peg.1316	WP_015907398.1	ATHE_RS04285	Athe_0856
fig|31899.10.peg.1318	WP_041727097.1	ATHE_RS04295	NA
fig|31899.10.peg.1319	WP_041727099.1	ATHE_RS04300	NA
fig|31899.10.peg.1320	WP_015907400.1	ATHE_RS04305	Athe_0859
fig|31899.10.peg.1321	WP_015907401.1	ATHE_RS04310	Athe_0860
fig|31899.10.peg.1322	WP_015907402.1	ATHE_RS04315	Athe_0861
fig|31899.10.peg.1324	WP_015907403.1	ATHE_RS09670	Athe_1928
fig|31899.10.peg.1329	WP_015907405.1	ATHE_RS04350	Athe_0867
fig|31899.10.peg.1330	WP_015907406.1	ATHE_RS04355	Athe_0868
fig|31899.10.peg.1333	WP_015907407.1	ATHE_RS04365	Athe_0870
fig|31899.10.peg.1334	WP_015907408.1	ATHE_RS04370	Athe_0871
fig|31899.10.peg.1335	WP_015907409.1	ATHE_RS04380	Athe_0872
fig|31899.10.peg.1336	WP_015907410.1	ATHE_RS04385	Athe_0873
fig|31899.10.peg.1337	WP_015907411.1	ATHE_RS04390	Athe_0874
fig|31899.10.peg.1338	WP_013290123.1	ATHE_RS04395	Athe_0875
fig|31899.10.peg.1339	WP_015907412.1	ATHE_RS04400	Athe_0876
fig|31899.10.peg.1340	WP_015907413.1	ATHE_RS04405	Athe_0877
fig|31899.10.peg.1341	WP_015907414.1	ATHE_RS04410	Athe_0878
fig|31899.10.peg.1342	WP_041727355.1	ATHE_RS04415	Athe_0879
fig|31899.10.peg.1343	WP_015907416.1	ATHE_RS04420	Athe_0880
fig|31899.10.peg.1344	WP_015907417.1	ATHE_RS04425	Athe_0881
fig|31899.10.peg.1345	WP_015907418.1	ATHE_RS04430	Athe_0882
fig|31899.10.peg.1347	WP_015907420.1	ATHE_RS04440	Athe_0884
fig|31899.10.peg.1348	WP_015907421.1	ATHE_RS04445	Athe_0885
fig|31899.10.peg.1349	WP_015907422.1	ATHE_RS04450	Athe_0886
fig|31899.10.peg.1351	WP_015907423.1	ATHE_RS04460	Athe_0887
fig|31899.10.peg.1353	WP_015907425.1	ATHE_RS04465	Athe_0889
fig|31899.10.peg.1354	WP_015907426.1	ATHE_RS04470	Athe_0890
fig|31899.10.peg.1355	WP_015907427.1	ATHE_RS04475	Athe_0891
fig|31899.10.peg.1356	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.1358	WP_041727102.1	ATHE_RS04490	NA
fig|31899.10.peg.1359	WP_015907429.1	ATHE_RS04495	Athe_0894
fig|31899.10.peg.1360	WP_014042880.1	ATHE_RS04500	Athe_0895
fig|31899.10.peg.1361	WP_015907430.1	ATHE_RS04505	Athe_0896
fig|31899.10.peg.1365	WP_015907431.1	ATHE_RS04520	Athe_0899
fig|31899.10.peg.1366	WP_015907432.1	ATHE_RS04525	Athe_0900
fig|31899.10.peg.1370	WP_015907434.1	ATHE_RS14265	Athe_0903
fig|31899.10.peg.1371	WP_015907435.1	ATHE_RS04535	Athe_0904
fig|31899.10.peg.1375	WP_041727108.1	ATHE_RS04555	NA
fig|31899.10.peg.1376	WP_015907437.1	ATHE_RS04560	Athe_0908
fig|31899.10.peg.1377	WP_015907438.1	ATHE_RS04565	Athe_0909
fig|31899.10.peg.1378	WP_015907439.1	ATHE_RS04570	Athe_0910
fig|31899.10.peg.1379	WP_015907440.1	ATHE_RS04575	Athe_0911
fig|31899.10.peg.1380	WP_015907441.1	ATHE_RS04580	Athe_0912
fig|31899.10.peg.1386	WP_015907446.1	ATHE_RS04605	Athe_0917
fig|31899.10.peg.1390	WP_041727110.1	ATHE_RS04615	Athe_0920
fig|31899.10.peg.1392	WP_015907451.1	ATHE_RS04625	Athe_0922
fig|31899.10.peg.1394	WP_015907453.1	ATHE_RS04635	Athe_0924
fig|31899.10.peg.1396	WP_015907455.1	ATHE_RS04645	Athe_0926
fig|31899.10.peg.1397	WP_015907456.1	ATHE_RS04650	Athe_0927
fig|31899.10.peg.1398	WP_015907457.1	ATHE_RS04655	Athe_0928
fig|31899.10.peg.1400	WP_015907458.1	ATHE_RS04660	Athe_0930
fig|31899.10.peg.1401	WP_015907459.1	ATHE_RS04665	Athe_0931
fig|31899.10.peg.1402	WP_015907460.1	ATHE_RS04670	Athe_0932
fig|31899.10.peg.1403	WP_013430681.1	ATHE_RS04675	Athe_0933
fig|31899.10.peg.1404	WP_015907461.1	ATHE_RS04680	Athe_0934
fig|31899.10.peg.1405	WP_015907462.1	ATHE_RS04685	Athe_0935
fig|31899.10.peg.1406	WP_015907463.1	ATHE_RS04690	Athe_0936
fig|31899.10.peg.1407	WP_015907464.1	ATHE_RS04695	Athe_0937
fig|31899.10.peg.1408	WP_015907465.1	ATHE_RS04700	Athe_0938
fig|31899.10.peg.1409	WP_015907466.1	ATHE_RS04705	Athe_0939
fig|31899.10.peg.1410	WP_015907467.1	ATHE_RS04710	Athe_0940
fig|31899.10.peg.1411	WP_015907468.1	ATHE_RS04715	Athe_0941
fig|31899.10.peg.1412	WP_015907469.1	ATHE_RS04720	Athe_0942
fig|31899.10.peg.1413	WP_015907470.1	ATHE_RS04725	Athe_0943
fig|31899.10.peg.1414	WP_015907471.1	ATHE_RS04730	Athe_0944
fig|31899.10.peg.1421	WP_015907473.1	ATHE_RS04740	Athe_0947
fig|31899.10.peg.1422	WP_015907474.1	ATHE_RS04745	Athe_0948
fig|31899.10.peg.1423	WP_015907475.1	ATHE_RS04750	Athe_0949
fig|31899.10.peg.1425	WP_015907476.1	ATHE_RS04755	NA
fig|31899.10.peg.1428	WP_015907478.1	ATHE_RS04765	Athe_0952
fig|31899.10.peg.1429	WP_015907479.1	ATHE_RS04770	Athe_0953
fig|31899.10.peg.1430	WP_015907480.1	ATHE_RS04775	Athe_0954
fig|31899.10.peg.1431	WP_015907481.1	ATHE_RS04780	Athe_0955
fig|31899.10.peg.1432	WP_015907482.1	ATHE_RS04785	Athe_0956
fig|31899.10.peg.1434	WP_015907483.1	ATHE_RS04790	Athe_0957
fig|31899.10.peg.1437	WP_015907484.1	ATHE_RS04800	Athe_0959
fig|31899.10.peg.1438	WP_015907485.1	ATHE_RS04805	Athe_0960
fig|31899.10.peg.1439	WP_015907486.1	ATHE_RS04810	Athe_0961
fig|31899.10.peg.1440	WP_015907487.1	ATHE_RS04815	Athe_0962
fig|31899.10.peg.1441	WP_015907488.1	ATHE_RS04820	Athe_0963
fig|31899.10.peg.1442	WP_015907489.1	ATHE_RS04825	Athe_0964
fig|31899.10.peg.1443	WP_015907490.1	ATHE_RS04830	Athe_0965
fig|31899.10.peg.1444	WP_015907491.1	ATHE_RS04835	Athe_0966
fig|31899.10.peg.1445	WP_015907492.1	ATHE_RS04840	Athe_0967
fig|31899.10.peg.1446	WP_013290832.1	ATHE_RS04845	Athe_0968
fig|31899.10.peg.1447	WP_013290831.1	ATHE_RS04850	Athe_0969
fig|31899.10.peg.1448	WP_013403633.1	ATHE_RS04855	Athe_0970
fig|31899.10.peg.1451	WP_013430653.1	ATHE_RS04865	Athe_0972
fig|31899.10.peg.1452	WP_015907493.1	ATHE_RS04870	Athe_0973
fig|31899.10.peg.1453	WP_015907494.1	ATHE_RS04875	Athe_0974
fig|31899.10.peg.1454	WP_015907495.1	ATHE_RS04880	Athe_0975
fig|31899.10.peg.1455	WP_015907496.1	ATHE_RS04885	Athe_0976
fig|31899.10.peg.1456	WP_015907497.1	ATHE_RS04890	Athe_0977
fig|31899.10.peg.1457	WP_015907498.1	ATHE_RS04895	Athe_0978
fig|31899.10.peg.1458	WP_015907499.1	ATHE_RS04900	Athe_0979
fig|31899.10.peg.1459	WP_015907500.1	ATHE_RS04905	Athe_0980
fig|31899.10.peg.1462	WP_015907502.1	ATHE_RS04920	Athe_0983
fig|31899.10.peg.1463	WP_013403620.1	ATHE_RS04925	Athe_0984
fig|31899.10.peg.1464	WP_015907503.1	ATHE_RS04930	Athe_0985
fig|31899.10.peg.1465	WP_015907504.1	ATHE_RS04935	Athe_0986
fig|31899.10.peg.1466	WP_015907505.1	ATHE_RS04940	Athe_0987
fig|31899.10.peg.1467	WP_013430636.1	ATHE_RS04945	Athe_0988
fig|31899.10.peg.1468	WP_015907506.1	ATHE_RS04950	Athe_0989
fig|31899.10.peg.1469	WP_015907507.1	ATHE_RS04955	Athe_0990
fig|31899.10.peg.1471	WP_015907509.1	ATHE_RS04965	Athe_0992
fig|31899.10.peg.1472	WP_015907510.1	ATHE_RS04970	Athe_0993
fig|31899.10.peg.1473	WP_041727112.1	ATHE_RS04975	Athe_0994
fig|31899.10.peg.1474	WP_015907512.1	ATHE_RS04980	Athe_0995
fig|31899.10.peg.1475	WP_015907513.1	ATHE_RS04985	Athe_0996
fig|31899.10.peg.1476	WP_015907514.1	ATHE_RS04990	Athe_0997
fig|31899.10.peg.1477	WP_013411746.1	ATHE_RS04995	Athe_0998
fig|31899.10.peg.1478	WP_015907515.1	ATHE_RS05000	Athe_0999
fig|31899.10.peg.1479	WP_013403605.1	ATHE_RS05005	Athe_1000
fig|31899.10.peg.1481	WP_015907517.1	ATHE_RS05015	Athe_1002
fig|31899.10.peg.1482	WP_015907518.1	ATHE_RS05020	Athe_1003
fig|31899.10.peg.1483	WP_015907519.1	ATHE_RS05025	Athe_1004
fig|31899.10.peg.1485	WP_015907520.1	ATHE_RS05030	Athe_1005
fig|31899.10.peg.1486	WP_015907521.1	ATHE_RS05035	Athe_1006
fig|31899.10.peg.1487	WP_015907522.1	ATHE_RS05040	Athe_1007
fig|31899.10.peg.1488	WP_015907523.1	ATHE_RS05045	Athe_1008
fig|31899.10.peg.1489	WP_015907524.1	ATHE_RS05050	Athe_1009
fig|31899.10.peg.1490	WP_015907525.1	ATHE_RS05055	Athe_1010
fig|31899.10.peg.1491	WP_015907526.1	ATHE_RS05060	Athe_1011
fig|31899.10.peg.1492	WP_041727114.1	ATHE_RS05065	Athe_1012
fig|31899.10.peg.1493	WP_015907528.1	ATHE_RS05070	Athe_1013
fig|31899.10.peg.1494	WP_015907529.1	ATHE_RS05075	Athe_1014
fig|31899.10.peg.1495	WP_015907530.1	ATHE_RS05080	Athe_1015
fig|31899.10.peg.1496	WP_015907531.1	ATHE_RS05085	Athe_1016
fig|31899.10.peg.1497	WP_015907532.1	ATHE_RS05090	Athe_1017
fig|31899.10.peg.1499	WP_015907533.1	ATHE_RS05095	Athe_1018
fig|31899.10.peg.1500	WP_015907534.1	ATHE_RS05100	Athe_1019
fig|31899.10.peg.1501	WP_015907535.1	ATHE_RS05105	Athe_1020
fig|31899.10.peg.1502	WP_015907536.1	ATHE_RS05110	Athe_1021
fig|31899.10.peg.1503	WP_015907537.1	ATHE_RS05115	Athe_1022
fig|31899.10.peg.1505	WP_041727364.1	ATHE_RS05120	Athe_1024
fig|31899.10.peg.1506	WP_015907540.1	ATHE_RS05125	Athe_1025
fig|31899.10.peg.1507	WP_015907541.1	ATHE_RS05130	Athe_1026
fig|31899.10.peg.1509	WP_015907543.1	ATHE_RS05140	Athe_1028
fig|31899.10.peg.1510	WP_015907544.1	ATHE_RS05145	Athe_1029
fig|31899.10.peg.1511	WP_041727117.1	ATHE_RS05155	Athe_1030
fig|31899.10.peg.1512	WP_015907546.1	ATHE_RS05160	Athe_1031
fig|31899.10.peg.1513	WP_015907547.1	ATHE_RS05165	Athe_1032
fig|31899.10.peg.1514	WP_015907548.1	ATHE_RS05170	Athe_1033
fig|31899.10.peg.1515	WP_013403578.1	ATHE_RS05175	Athe_1034
fig|31899.10.peg.1516	WP_015907549.1	ATHE_RS05180	Athe_1035
fig|31899.10.peg.1517	WP_013403576.1	ATHE_RS05185	Athe_1036
fig|31899.10.peg.1518	WP_015907550.1	ATHE_RS05190	Athe_1037
fig|31899.10.peg.1519	WP_015907551.1	ATHE_RS05195	Athe_1038
fig|31899.10.peg.1520	WP_015907552.1	ATHE_RS05200	Athe_1039
fig|31899.10.peg.1522	WP_015907554.1	ATHE_RS05210	Athe_1041
fig|31899.10.peg.1524	WP_015907556.1	ATHE_RS05220	Athe_1043
fig|31899.10.peg.1525	WP_015907557.1	ATHE_RS05225	Athe_1044
fig|31899.10.peg.1526	WP_015907558.1	ATHE_RS05230	Athe_1045
fig|31899.10.peg.1527	WP_015907559.1	ATHE_RS05235	Athe_1046
fig|31899.10.peg.1528	WP_015907560.1	ATHE_RS05240	Athe_1047
fig|31899.10.peg.1529	WP_015907561.1	ATHE_RS05245	Athe_1048
fig|31899.10.peg.1530	WP_015907562.1	ATHE_RS05250	Athe_1049
fig|31899.10.peg.1531	WP_041727120.1	ATHE_RS05255	Athe_1050
fig|31899.10.peg.1532	WP_015907564.1	ATHE_RS05260	Athe_1051
fig|31899.10.peg.1533	WP_015907565.1	ATHE_RS05265	Athe_1052
fig|31899.10.peg.1534	WP_015907566.1	ATHE_RS05270	Athe_1053
fig|31899.10.peg.1535	WP_015907567.1	ATHE_RS05275	Athe_1054
fig|31899.10.peg.1536	WP_015907568.1	ATHE_RS05280	Athe_1055
fig|31899.10.peg.1537	WP_015907569.1	ATHE_RS05285	Athe_1056
fig|31899.10.peg.1538	WP_015907570.1	ATHE_RS05290	Athe_1057
fig|31899.10.peg.1539	WP_015907571.1	ATHE_RS05295	Athe_1058
fig|31899.10.peg.1540	WP_015907572.1	ATHE_RS05300	Athe_1059
fig|31899.10.peg.1541	WP_015907573.1	ATHE_RS05305	Athe_1060
fig|31899.10.peg.1542	WP_015907574.1	ATHE_RS05310	Athe_1061
fig|31899.10.peg.1543	WP_015907575.1	ATHE_RS05315	Athe_1062
fig|31899.10.peg.1544	WP_015907576.1	ATHE_RS05320	Athe_1063
fig|31899.10.peg.1546	WP_015907578.1	ATHE_RS05330	Athe_1065
